NUMBER LOVE_H LOVE_L LOVE_K
555 -4.976175055 0.0021905301 -0.003657802
556 -4.979452831 0.0021889599 -0.0036540429
557 -4.982724158 0.0021873951 -0.0036502933
558 -4.985989035 0.0021858356 -0.0036465534
559 -4.989247464 0.0021842813 -0.0036428231
560 -4.992499446 0.0021827322 -0.0036391022
561 -4.995744982 0.0021811883 -0.0036353908
562 -4.998984075 0.0021796494 -0.0036316886
563 -5.002216724 0.0021781156 -0.0036279958
564 -5.005442931 0.0021765867 -0.0036243122
565 -5.008662698 0.0021750628 -0.0036206378
566 -5.011876025 0.0021735437 -0.0036169725
567 -5.015082917 0.0021720295 -0.0036133162
568 -5.018283371 0.00217052 -0.0036096689
569 -5.021477395 0.0021690153 -0.0036060306
570 -5.024664984 0.0021675152 -0.0036024011
571 -5.027846144 0.0021660197 -0.0035987804
572 -5.031020874 0.0021645289 -0.0035951685
573 -5.03418918 0.0021630425 -0.0035915653
574 -5.03735106 0.0021615606 -0.0035879707
575 -5.04050652 0.0021600831 -0.0035843848
576 -5.04365556 0.00215861 -0.0035808074
577 -5.046798181 0.0021571412 -0.0035772384
578 -5.049934387 0.0021556767 -0.003573678
579 -5.053064181 0.0021542165 -0.0035701257
580 -5.056187565 0.0021527604 -0.003566582
581 -5.059304539 0.0021513085 -0.0035630464
582 -5.062415109 0.0021498607 -0.0035595191
583 -5.065519277 0.0021484169 -0.003556
584 -5.068617045 0.0021469771 -0.0035524889
585 -5.071708416 0.0021455414 -0.0035489859
586 -5.074793392 0.0021441095 -0.003545491
587 -5.077871976 0.0021426815 -0.003542004
588 -5.080944173 0.0021412574 -0.0035385249
589 -5.084009984 0.0021398371 -0.0035350537
590 -5.087069413 0.0021384205 -0.0035315903
591 -5.090122463 0.0021370077 -0.0035281347
592 -5.093169137 0.0021355985 -0.0035246868
